instance,prep,geo-feature,placename,sum,or,'label exp1','label exp 2','label exp 3','label exp 4'
' i suppos ask real hope did',without,0,0,0,0,0,0,0,0
' mention you anyth anonym letter',about,0,0,0,0,0,0,0,0
' perhap were still mad',at,0,0,0,0,0,0,0,0
' it not fair be expos some',on,0,0,0,0,0,0,0,0
' be expos some defend recent week',of,0,0,0,0,0,0,0,0
' some our defend recent week',in,0,0,0,0,0,0,0,0
' i never a boat he admit',on,0,1,1,1,1,1,0,1
' never on boat admit tommi unless',before,0,1,1,1,0,0,0,0
' he admit tommi count paddl steamer',unless,0,1,1,1,0,0,0,0
' count paddl steamer brighton',at,0,1,1,1,2,1,1,0
' to examin act you propos should',in,0,0,0,0,0,0,0,0
' propos should conspir enemi our emperor',with,0,0,0,0,0,0,0,0
' conspir the enemi emperor',against,0,0,0,0,0,0,0,0
' i you i',If,0,0,0,0,0,0,0,0
' i provid immedi clutch grandchildren',with,0,0,0,0,0,0,0,0
' immedi a clutch grandchildren look and',of,0,0,0,0,0,0,0,0
' clutch grandchildren look she go',after,0,0,0,0,0,0,0,0
' and can go happili same',on,0,0,0,0,0,0,0,0
' be happili same day die',until,0,0,0,0,0,0,0,0
' had taken place',If,0,2,2,1,0,0,0,0
' if had taken place london new york i',in,0,2,2,1,2,1,1,0
' i would simpli bawl to get lost',at,0,2,2,1,0,0,0,0
' one my lectur',If,0,0,0,0,0,0,0,0
' if one lectur been murder',of,0,0,0,0,0,0,0,0
' murder i would n to hear someon gloat',like,0,0,0,0,0,0,0,0
' like hear someon gloat detail',about,0,0,0,0,0,0,0,0
' d bother listen',If,0,0,0,0,0,0,0,0
' listen me peter went instead simpli wade',on,0,0,0,0,0,0,0,0
' peter went instead simpli wade with',of,0,0,0,0,0,0,0,0
' instead simpli wade all slander accus',with,0,0,0,0,0,0,0,0
' all slander accus i have told',about,0,0,0,0,0,0,0,0
' is ani reason i not take',that,1,0,1,1,0,0,0,0
' take earli stroll beach like mr dicken',on,1,0,1,1,2,1,1,0
' earli stroll the beach mr dicken',like,1,0,1,1,0,0,0,0
' it a disgrac school minist describ',that,2,0,2,1,0,0,0,0
' school minist describ school way',in,2,0,2,1,0,0,0,0
' it so hard to understand',for,0,0,0,0,0,0,0,0
' ointment lie cull hoof an elk',from,0,0,0,0,0,0,0,0
' lie cull the hoof elk mix',of,0,0,0,0,0,0,0,0
' an elk mix herb',with,0,0,0,0,0,0,0,0
' new home he such terribl state',in,1,0,1,1,0,0,0,0
' jame made look though was wait',as,0,0,0,0,0,0,0,0
' made look he wait the',though,0,0,0,0,0,0,0,0
' though was wait wing pounc',in,0,0,0,0,0,0,0,0
' the wing pounc fairytal princess',on,0,0,0,0,0,0,0,0
' thus becam first person histori attempt convert',in,0,1,1,1,0,0,0,0
' attempt convert quartet jehovah wit',of,0,1,1,1,0,0,0,0
' lack employ women boredom',of,0,0,0,0,0,0,0,0
' lack employ women boredom men',for,0,0,0,0,0,0,0,0
' lack employ women boredom men',for,0,0,0,0,0,0,0,0
' boredom men emerg main reason peopl indulg',as,0,0,0,0,0,0,0,0
' main reason peopl indulg prostitut',in,0,0,0,0,0,0,0,0
' let us frank he said',about,0,0,0,0,0,0,0,0
' liam devlin is devlin choos',if,0,1,1,1,0,0,0,0
' hard go parachut courtyard st mari',into,0,1,1,1,2,1,1,0
' parachut the courtyard st mari priori tomorrow',at,0,1,1,1,2,1,1,0
' liam devlin is devlin choos',if,0,1,1,1,0,0,0,0
' mani peopl note british minist other politician',that,0,0,0,0,0,0,0,0
' politician not outspoken death aris of',about,0,0,0,0,0,0,0,0
' outspoken other death aris this conflict',out,0,0,0,0,0,0,0,0
' other death aris this conflict',of,0,0,0,0,0,0,0,0
' may i also put record i love',on,0,0,0,0,0,0,0,0
' also put on record i love for',that,0,0,0,0,0,0,0,0
' record i love your mind said leo earnest',for,0,0,0,0,0,0,0,0
' way treat insan kind jame told when',with,0,2,2,1,0,0,0,0
' told when insist particular derang woman',that,0,2,2,1,0,0,0,0
' a particular derang woman middl age remain chain',of,0,2,2,1,0,0,0,0
' middl age remain chain ankl her bed',by,0,2,2,1,1,1,0,1
' my blood boil anger said mr brownlow',with,0,0,0,0,0,0,0,0
' my one wish the world to',in,0,0,0,0,0,0,0,0
' to find cure son',for,0,0,0,0,0,0,0,0
' player must class replay most import game',as,0,1,1,1,0,0,0,0
' import game season ignor the',of,0,1,1,1,0,0,0,0
' as athlet waltz chair examin dolli',around,0,0,0,0,1,1,0,1
' around chair examin dolli angl',from,0,0,0,0,1,1,0,1
' now ll excus i',if,0,0,0,0,0,0,0,0
' let take walk field honey',over,1,1,2,1,2,1,1,0
' walk the field honey harriet',with,1,1,2,1,0,0,0,0
' cours said lead',Of,0,0,0,0,0,0,0,0
' cours said lead a door one end',towards,0,0,0,0,1,1,0,1
' lead toward door one end the room',at,0,0,0,0,1,1,0,1
' cours said lead',Of,0,0,0,0,1,1,0,1
' said harrington pile plate fri egg had',with,0,0,0,0,1,1,0,1
' had start congeal cover',beneath,0,0,0,0,1,1,0,1
' parul knew had other women they row',with,0,1,1,1,0,0,0,0
' women they row',about,0,1,1,1,0,0,0,0
' habit share busi vault easi conclus',of,0,0,0,0,0,0,0,0
' planet move ellips around sun',in,0,0,0,0,0,0,0,0
' planet move ellips sun more precis',around,0,0,0,0,2,1,1,0
' sun more precis planet move close loop',than,0,0,0,0,0,0,0,0
' planet move ellips around sun',in,0,0,0,0,0,0,0,0
' planet move ellips sun more precis',around,0,0,0,0,2,1,1,0
' has a spate alleg the media',of,0,0,0,0,0,0,0,0
' a spate alleg media the busi',in,0,0,0,0,0,0,0,0
' alleg media the busi affair both',about,0,0,0,0,0,0,0,0
' has a spate alleg the media',of,0,0,0,0,0,0,0,0
' has a spate alleg the media',of,0,0,0,0,0,0,0,0
' shall i shock more anoth truth',with,0,0,0,0,0,0,0,0
' claim peopl might shock remarri soon',at,0,0,0,0,0,0,0,0
' her remarri soon denni death',after,0,0,0,0,0,0,0,0
' she a voluntari resid one the hospit',at,0,0,0,0,2,1,1,0
' voluntari resid one hospit i act',of,0,0,0,0,2,1,1,0
' hospit i act consult',as,0,0,0,0,0,0,0,0
' n contact bailey hit',about,0,0,0,0,0,0,0,0
' so i understand mrs kettl said melissa',from,0,0,0,0,0,0,0,0
' so got fire job maria suppli dulli',from,0,0,0,0,0,0,0,0
' such middl class way carri she thought',of,0,0,0,0,0,0,0,0
' middl class way carri thought rememb',on,0,0,0,0,0,0,0,0
' gabriel she revel roast beef two veg',in,0,0,0,0,0,0,0,0
' such middl class way carri she thought',of,0,0,0,0,0,0,0,0
' take hand',off,0,0,0,0,1,1,0,1
' tall guy blue uniform car',in,0,0,0,0,0,0,0,0
' blue uniform car flash light top',with,0,0,0,0,0,0,0,0
' car flash light top',on,0,0,0,0,1,1,0,1
' that afternoon matron abigail hospit rang',of,1,1,2,1,2,1,1,0
' abigail hospit rang bristol tell us',from,1,1,2,1,2,1,1,0
' that afternoon matron abigail hospit rang',of,1,1,2,1,0,0,0,0
' d die hour',ago,1,1,2,1,0,0,0,0
' morn when i look floor was',on,0,0,0,0,1,1,0,1
' was veil torn two halv',in,0,0,0,0,0,0,0,0
' assassin must been lie ground father stand',on,0,0,0,0,1,1,0,1
' assassin must been lie ground father stand',on,0,0,0,0,1,1,0,1
' the compass mrs lodg someth',of,1,0,1,1,0,0,0,0
' avoid tip economi recess warn',into,0,0,0,0,0,0,0,0
' and keep sport fire burn low enough',till,0,0,0,0,0,0,0,0
' enough they ventur leap flame',through,0,0,0,0,1,1,0,1
' i n know mate i',about,0,0,0,0,0,0,0,0
' i say grace meal',before,0,0,0,0,0,0,0,0
' n ani lie mudhoney except the shit',about,0,1,1,1,0,0,0,0
' ani lie mudhoney the shit make',except,0,1,1,1,0,0,0,0
' lie mudhoney except shit make',for,0,1,1,1,0,0,0,0
' there some can drink the back seat',of,0,0,0,0,0,0,0,0
' some can drink back seat you',on,0,0,0,0,1,1,0,1
' drink the back seat re thirsti',if,0,0,0,0,0,0,0,0
' onli one king castl far',of,1,0,1,1,0,0,0,0
' one king the castl far male leo',as,1,0,1,1,0,0,0,0
' there plenti everyon',for,0,0,0,0,0,0,0,0
' achiev we believ appoint a high',through,0,0,0,0,0,0,0,0
' believ the appoint high profil director general',of,0,0,0,0,0,0,0,0
' believ the appoint high profil director general',of,0,0,0,0,0,0,0,0
' consider a similar appoint institut',at,0,0,0,0,0,0,0,0
' they the chain around neck',on,0,0,0,0,1,1,0,1
' they on chain neck mandi told',around,0,0,0,0,1,1,0,1
' wife may otley repli hint disappoint',with,0,0,0,0,0,0,0,0
' otley repli a hint disappoint his voic',of,0,0,0,0,0,0,0,0
' a hint disappoint voic',in,0,0,0,0,0,0,0,0
' made further bid limelight',for,0,0,0,0,0,0,0,0
' three us carri and i',of,0,0,0,0,0,0,0,0
' three us carri and i',of,0,0,0,0,0,0,0,0
' three us carri and i',of,0,0,0,0,0,0,0,0
' tip jug water next morn wake',over,0,0,0,0,1,1,0,1
' to think vast length tube',of,0,0,0,0,0,0,0,0
' to think vast length tube',of,0,0,0,0,0,0,0,0
' length tube support it end a whole',at,0,0,0,0,1,1,0,1
' a whole train run',through,0,0,0,0,1,1,0,1
' tonight king lodg westminst',at,1,0,1,1,2,1,1,0
' touch again filthi paw i',with,0,0,0,0,0,0,0,0
' i ram fist ugli face',into,0,0,0,0,1,1,0,1
' tri to brood you lost',on,0,0,0,0,0,0,0,0
' vitamin pill eyedrop do n want',if,0,0,0,0,0,0,0,0
' n want bloodshot eye long flight a stick',after,0,0,0,0,0,0,0,0
' long flight a stick men deodor',of,0,0,0,0,0,0,0,0
' obvious n agre',with,0,0,0,0,0,0,0,0
' we ride storm moment thing',at,0,0,0,0,0,0,0,0
' thing get wors recess said georg',in,0,0,0,0,0,0,0,0
' could wander perhap rain stop',if,0,0,0,0,0,0,0,0
' we  kilometr coast line are rich',of,1,0,1,1,2,1,1,0
' coast line are rich miner have great agricultur',in,1,0,1,1,0,0,0,0
' we pull certain cost one separ legal entiti',from,0,0,0,0,0,0,0,0
' legal entiti merg separ cost anoth legal',with,0,0,0,0,0,0,0,0
' we pull certain cost one separ legal entiti',from,0,0,0,0,0,0,0,0
' late said jacki hobbl door',towards,0,0,0,0,2,1,1,0
' we had convers',before,0,0,0,0,0,0,0,0
' we hike milcreek canyon utah',in,1,1,2,1,2,1,1,0
' we hike milcreek canyon utah',in,1,1,2,1,2,1,1,0
' well i bicycl round siena gun the basket',with,1,1,2,1,0,0,0,0
' round siena a gun basket my handlebar',in,1,1,2,1,1,1,0,1
' gun the basket handlebar underneath exercis',on,1,1,2,1,1,1,0,1
' basket handlebar my exercis book petrarch',underneath,1,1,2,1,1,1,0,1
' like get look van i said',inside,1,0,1,1,1,1,0,1
' new beatl long player second ton new',out,1,0,1,1,0,0,0,0
' player ani second ton new song',of,1,0,1,1,0,0,0,0
' round beth slim waist two them saunter',as,0,0,0,0,0,0,0,0
' slim waist the two saunter the door',of,0,0,0,0,0,0,0,0
' it to the verdict dandi',with,0,0,0,0,0,0,0,0
' do the verdict dandi',on,0,0,0,0,0,0,0,0
' what i plan produc itv i know',for,0,0,0,0,0,0,0,0
' eight year old delight had somehow manag',that,0,0,0,0,0,0,0,0
' amus matur woman nineteen',of,0,0,0,0,0,0,0,0
' want ask tire flight',from,0,0,0,0,0,0,0,0
' scream unseen driver the black vehicl came hurtl',as,0,0,0,0,0,0,0,0
' black vehicl came hurtl onc this time',towards,0,0,0,0,1,1,0,1
' whore pull a phial robe sprinkl',beneath,0,0,0,0,1,1,0,1
' robe sprinkl content loaf bread',on,0,0,0,0,1,1,0,1
' content a loaf bread',of,0,0,0,0,1,1,0,1
' we ask peer',about,0,0,0,0,0,0,0,0
' yes i not sure abort',about,0,0,0,0,0,0,0,0
' you previous convict a drug offenc involv cannabi',for,0,0,0,0,0,0,0,0
' maggi they last settl their tabl',at,0,0,0,0,0,0,0,0
' preston are kinda smart',at,0,0,0,0,0,0,0,0
' you perish cold irish friend',from,0,0,0,0,0,0,0,0
' you still brood rosi n you',about,0,0,0,0,0,0,0,0
' you terribl unkind colonel foxton christabel told',about,0,0,0,0,0,0,0,0
' repeat mechan follow melissa church like submiss',from,1,0,1,1,2,1,1,0
' follow melissa the church submiss child',like,1,0,1,1,0,0,0,0
' think i the granddaught crimin',of,0,0,0,0,0,0,0,0
' everi right be mad mike',at,0,0,0,0,0,0,0,0
' \% growth forecast ',for,0,0,0,0,0,0,0,0
' john mcleod policeman resid ballygr ad the',at,0,1,1,1,2,1,1,0
'  saw substanti increas tender activ valu',in,0,0,0,0,0,0,0,0
' tender activ valu work obtain provid outstand low',of,0,0,0,0,0,0,0,0
' applic propos develop erect and high palla',of,1,1,2,1,0,0,0,0
' gate a locat woodborough wood school lingwood lane',at,1,1,2,1,2,1,1,0
'   protest march london hyde park win',through,1,1,2,1,2,1,1,0
' charg may impos breach the tenant',upon,0,0,0,0,0,0,0,0
' impos upon breach tenant plan control',by,0,0,0,0,0,0,0,0
' breach the tenant plan control otherwis',of,0,0,0,0,0,0,0,0
' plan control otherwis plan act',under,0,0,0,0,0,0,0,0
' th  which the hous build barn',with,5,1,6,1,0,0,0,0
'  shill year anoth part a new',that,5,1,6,1,0,0,0,0
' new toft hous built southwel worth  shill',at,5,1,6,1,2,1,1,0
' belong the manor  shill year',worth,5,1,6,1,0,0,0,0
' take was follow unev flight arriv',by,1,1,2,1,0,0,0,0
' unev flight arriv norther direct newburi',from,1,1,2,1,2,1,1,0
' arriv a norther direct newburi race cours around',at,1,1,2,1,2,1,1,0
' arriv a norther direct newburi race cours around',at,1,1,2,1,0,0,0,0
' newburi race cours ',around,1,1,2,1,0,0,0,0
' year old girl work a frenzi grief',into,0,0,0,0,0,0,0,0
' work into frenzi grief a friend kill',of,0,0,0,0,0,0,0,0
' frenzi grief a friend kill right',for,0,0,0,0,0,0,0,0
' grief a friend kill right wing vigilant',by,0,0,0,0,0,0,0,0
' a  cours even meal restaur car complet',in,1,2,3,1,1,1,0,1
' the restaur car complet aperitif sherri sparkl',with,1,2,3,1,0,0,0,0
' restaur car complet aperitif sherri sparkl cava wine',of,1,2,3,1,0,0,0,0
' a  cours even meal restaur car complet',in,1,2,3,1,0,0,0,0
' the gran clase fare breakfast next morn',as,1,2,3,1,0,0,0,0
' clase fare is breakfast morn',next,1,2,3,1,0,0,0,0
' a bell toll head',above,0,0,0,0,1,1,0,1
' a bloodi mouth mastiff tie chain a lintel',by,0,0,0,0,0,0,0,0
' chain lintel a door snarl bark',of,0,0,0,0,1,1,0,1
' a box apparatus the circus',of,0,0,0,0,0,0,0,0
' a box apparatus circus provid',for,0,0,0,0,0,0,0,0
' a box apparatus circus provid',for,0,0,0,0,0,0,0,0
' british tourist repeat rape south african beach',on,1,0,1,1,2,1,1,0
' african beach one week savag murder elizabeth',after,1,0,1,1,0,0,0,0
' week the savag murder elizabeth over juli godwin',of,1,0,1,1,0,0,0,0
' a broad compat offic what requireda',between,0,0,0,0,0,0,0,0
' the natur volum work',of,0,0,0,0,0,0,0,0
' sound recordist film scene new sharon stone thriller',for,1,2,3,1,0,0,0,0
' stone thriller sliver trap kilauea volcano hawaii',in,1,2,3,1,2,1,1,0
' trap the kilauea volcano hawaii',on,1,2,3,1,2,1,1,0
' a case point a bill',in,5,0,5,1,0,0,0,0
' protect agenc set standard protect are estim',for,5,0,5,1,0,0,0,0
'  million school children health threaten asbesto ',from,5,0,5,1,0,0,0,0
' a case point a bill',in,5,0,5,1,2,1,1,0
'   school build countri at',around,5,0,5,1,2,1,1,0
' build around countri the time requir school',at,5,0,5,1,0,0,0,0
' given unpreced access film buckinghamshir prison',at,1,0,1,1,2,1,1,0
' town the cotton work ruin fit and unwin',in,3,1,4,1,0,0,0,0
' knee he reach tabl a scrap',under,1,2,3,1,1,1,0,1
' reach the tabl scrap venison',with,1,2,3,1,0,0,0,0
' tabl a scrap venison fife drum',of,1,2,3,1,0,0,0,0
' a scrap venison fife drum was',for,1,2,3,1,0,0,0,0
' a common held view he delay withdraw polit',that,0,0,0,0,0,0,0,0
' that delay withdraw polit reason after',for,0,0,0,0,0,0,0,0
' delay withdraw polit reason the presidenti elect',until,0,0,0,0,0,0,0,0
' withdraw polit reason the presidenti elect decemb',after,0,0,0,0,0,0,0,0
' after presidenti elect decemb ',of,0,0,0,0,0,0,0,0
' complet new bathroom cost    ',between,0,0,0,0,0,0,0,0
'   add half valu the',about,0,0,0,0,0,0,0,0
' a coupl year ago british rail spent',of,3,2,5,1,0,0,0,0
' a coupl year british rail spent million',ago,3,2,5,1,0,0,0,0
' a coupl year ago british rail spent',of,3,2,5,1,0,0,0,0
' pound build link london stanst airport',between,3,2,5,1,2,1,1,0
' dana air plane carri  passeng crash',than,0,1,1,1,0,0,0,0
'  passeng crash nigeria kill everyon board',in,0,1,1,1,2,1,1,0
' crash nigeria kill everyon board',on,0,1,1,1,1,1,0,1
' a detail analysi current fundament perform',of,1,6,7,1,0,0,0,0
' a detail analysi current fundament perform',of,1,6,7,1,0,0,0,0
' deterior econom pictur expect lower vehicl sale prompt investor',of,0,0,0,0,0,0,0,0
